SKU,PN
DYN365_ENTERPRISE_PLAN1,Dynamics 365 Customer Engagement Plan
M365_F1,Microsoft 365 F1
MCOIMP_MCOIMP,Skype for Business Online (Plan 1)
STANDARDWOFFPACK_FACULTY,Office 365 A1 for faculty
POWERFLOW_P2,Microsoft PowerApps Plan 2 Trial
POWERAPPS_O365_S1,Power Apps for Office 365 F3
O365_BUSINESS_OFFICE_BUSINESS,M365 Apps for Business - Office 365 Business
O365_BUSINESS_FORMS_PLAN_E1,M365 Apps for Business - Microsft Forms (Plan E1)
EMSPREMIUM_AAD_PREMIUM_P2,Ent Mobility + Security E5 - Azure AD Premium P2
CCIBOTS_PRIVPREV_VIRAL_FLOW_CCI_BOTS,Dynamics Bots Trial - Microsoft Flow
RMS_S_ENTERPRISE_GOV,Azure Rights Management
DYN365_CDS_PROJECT,Common Data Service for Project
MEETING_ROOM_TEAMS1,Meeting Room - Microsoft Teams
INFO_GOVERNANCE,Microsoft Information Governance
SMB_BUSINESS_ESSENTIALS,Microsoft 365 Business Basic
WIN10_PRO_ENT_SUB,Windows 10/11 Enterprise (Original)
SMB_BUSINESS_ESSENTIALS_FORMS_PLAN_E1,M365 Business Basic - Microsft Forms (Plan E1)
ADALLOM_STANDALONE,Microsoft Cloud App Security
O365_BUSINESS_SWAY,M365 Apps for Business - Sway
DYN365_CDS_O365_P2,Common Data Service - O365 P2
WACONEDRIVEENTERPRISE,Onedrive for Business (Plan 2)
SMB_BUSINESS_PREMIUM_SHAREPOINTSTANDARD,M365 Business Standard - SharePoint (P1)
DESKLESSPACK_TEAMS1,O365 F1 - Microsoft Teams
RIGHTSMANAGEMENT_RMS_S_ENTERPRISE,Azure Information Protection Plan 1 - Microsoft Azure AD Rights
EXCHANGEENTERPRISE_STUDENT,Exchange Online (Plan 2) for Student
ENTERPRISEPREMIUM_DYN365_CDS_O365_P3,O365 E5 - Common Data Service
SPE_F1_PROJECTWORKMANAGEMENT,M365 F1 - Microsoft Planner
EXCHANGEARCHIVE_STUDENT,Exchange Archiving for Students
EXCHANGE_ANALYTICS_GOV,Microsoft MyAnalytics for Government (Full)
SHAREPOINTENTERPRISE_GOV,SharePoint P2 for Government
MEE_FACULTY,Minecraft Education Edition Faculty
MIDSIZEPACK_EXCHANGE_S_STANDARD_MIDMARKET,O365 Midsize Business - Exchange Online (P1)
PROJECTONLINE_PLAN_1_GOV,Project Plan 1for Government
VISIOCLIENT_VISIO_CLIENT_SUBSCRIPTION,Visio Online P2 - Visio Online Desktop Client
D365_SALES_PRO_ATTACH,Dynamics 365 for Sales Professional Attach to Qualifying Dynamics 365 Base Offer
CDS_O365_P3,Common Data Service for Teams
ENTERPRISEPREMIUM_NOPSTNCONF_OFFICESUBSCRIPTION,O365 E5 Without Audio Conferencing - Office 365 ProPlus
M365_F1_STREAM_O365_K,M365 F1 - Microsoft Stream for O365 K SKU
POWER_VIRTUAL_AGENTS_O365_P3,Power Virtual Agents for Office 365
CDS_O365_P1_GCC,Common Data Service for Teams_P1 GCC
CDS_DB_CAPACITY_GOV,Common Data Service Database Capacity for Government
DYN365_ENTERPRISE_SALES_POWERAPPS_DYN_APPS,D365 for Sales Enterprise Edition - PowerApps for Office 365
STANDARDPACK_TEAMS1,O365 E1 - Microsoft Teams
PROJECTPROFESSIONAL_DYN365_CDS_PROJECT,Project Online Professional - Common Data Service
EMSPREMIUM_ATA,Ent Mobility + Security E5 - Azure Advanced Threat Protection
MCOPSTN1_GOV,Domestic Calling for Government
EXCHANGE_S_ARCHIVE,Exchange Online Archiving for Exchange Server
POWERAPPS_VIRAL_FLOW_P2_VIRAL_REAL,Power Apps Plan 2 Trial - Flow P2 Viral
SMB_BUSINESS_PREMIUM_FLOW_O365_P1,M365 Business Standard - Flow for Office 365
PROJECT_FOR_PROJECT_OPERATIONS,Project for Project Operations
SKU_DYNAMICS_365_FOR_HCM_TRIAL_DYNAMICS_365_HIRING_FREE_PLAN,Dynamics 365 for Talents
EMS_EDU_STUUSBNFT,Enterprise Mobility + Security A3
DYN365_SALES_PRO,Dynamics 365 for Sales Professional
ENTERPRISEPACK_DESKLESS,O365 E3 - Microsoft StaffHub
DESKLESSPACK_WHITEBOARD_FIRSTLINE1,O365 F1 - Whiteboard (Firstline)
POWERAPPS_PORTALS_LOGIN,Power Apps Portals Login Capacity Add-On
DYN365_CDS_P2,Common Data Service P2
DEVELOPERPACK_POWERAPPS_O365_P2,O365 E3 Developer - PowerApps for Office 365
SMB_BUSINESS_PREMIUM_EXCHANGE_S_STANDARD,M365 Business Standard - Exchange Online (P2)
ENTERPRISEPREMIUM_NOPSTNCONF_ADALLOM_S_O365,O365 E5 Without Audio Conferencing - Office 365 Advanced Security Management
Dynamics_365_for_Operations_Sandbox_Tier2_SKU,Dynamics 365 Operations - Sandbox Tier 2:Standard Acceptance Testing
ENTERPRISEPREMIUM_PREMIUM_ENCRYPTION,O365 E5 - Premium Encryption in Office 365
MCOEV,Microsoft 365 Phone System
Forms_Pro_AddOn,Dynamics 365 Customer Voice Additional Responses
DESKLESSPACK_SWAY,O365 F1 - Sway
MCOPSTN_5_MCOPSTN5,Microsoft 365 Domestic Calling Plan (120 Minutes)
DYN365_CDS_O365_F1,Common Data Service - O365 F1
DYN365_ENTERPRISE_SALES_CUSTOMERSERVICE,Dynamics 365 for Sales And Customer Service Enterprise Edition
MCOMEETADV,Microsoft 365 Audio Conferencing
PROJECTCLIENT_GOV,Project Pro for Office 365 for Government
PROJECTPREMIUM_PROJECT_CLIENT_SUBSCRIPTION,Project Online Premium - Project Online Desktop Client
AX_ENTERPRISE_USER,Microsoft Dynamics AX Enterprise
CDS_ATTENDED_RPA,Common Data Service Attended RPA
MCOCAP_MCOEV,Common Area Phone - Microsoft Phone System
M365_F1_RMS_S_PREMIUM,M365 F1 - Azure Information Protection P1
Dynamics_365_Talent_Onboard,Dynamics 365 for Talent: Onboard
DESKLESSPACK_KAIZALA_O365_P1,O365 F1 - Microsoft Kaizala Pro
VISIO_CLIENT_SUBSCRIPTION,Visio Online
SHAREPOINTSTORAGE_GOV,Office 365 Extra File Storage for GCC
CRMSTANDARD_MDM_SALES_COLLABORATION,MS Dynamics CRM Online - MS Dynamics Marketing Sales Collaboration
FLOW_BUSINESS_PROCESS,Power Automate per flow plan
PARATURE_ENTERPRISE,Parature Enterprise
Forms_Pro_FS,Microsoft Dynamics 365 Customer Voice for Field Service
OFFICESUBSCRIPTION,Microsoft 365 Apps for Enterprise
GUIDES_USER_POWERAPPS_GUIDES,User Guides - PowerApps
DYN365_ENTERPRISE_TEAM_MEMBERS_DYN365_ENTERPRISE_TALENT_ONBOARD_TEAMMEMBER,D365 for Team Members Ent Edition - D365 for Talent - Onboard Experience
WACONEDRIVESTANDARD_ONEDRIVESTANDARD,Onedrive for Business (P1) - OneDrive for Business
PROJECTONLINE_PLAN_6_SHAREPOINTWAC,PProject Online With Project for O365 - Office for web
MFA_PREMIUM,Microsoft Azure Multi-factor Authentication
ENTERPRISEPREMIUM_NOPSTNCONF_MCOEV,O365 E5 Without Audio Conferencing - Microsoft Phone System
WACONEDRIVESTANDARD_SWAY,Onedrive for Business (P1) - Sway
PROJECTONLINE_PLAN_3_SHAREPOINTENTERPRISE,Project Online Premium Without Project Client - SharePoint (P2)
SCHOOL_DATA_SYNC_P2,School Data Sync (Plan 2)
DYN365_ENTERPRISE_TEAM_MEMBERS_DYNAMICS_365_FOR_TALENT_TEAM_MEMBERS,D365 for Team Members Ent Edition - Dynamics 365 for Talent Member
OFFICESUBSCRIPTION_ONEDRIVESTANDARD,M365 Apps for Enterprise - OneDrive for Business
MCOIMP_GOV,Skype for Business Online (Plan 1) for Government
AAD_PREMIUM_AAD_PREMIUM,Azure AD Premium P1 - Azure AD Premium P1
RIGHTSMANAGEMENT_GOV,Azure Active Directory Rights for Government
FLOW_FREE,Microsoft Flow Free
EXCHANGEONLINE_MULTIGEO,Exchange Online Multi-Geo
LITEPACK_P3_MCOLITE,Office 365 Small Business Premium - Skype for Business Online (P1)
YAMMER_MIDSIZE,Yammer Midsize
OFFICESUBSCRIPTION_FACULTY,Microsoft 365 Apps for Faculty
MICROSOFT_SEARCH,Microsoft Search
BI_AZURE_P_2_GOV,Power BI Pro for Government
ENTERPRISEPREMIUM_RECORDS_MANAGEMENT,O365 E5 - Microsoft Records Management
WORKPLACE_ANALYTICS_WORKPLACE_ANALYTICS,Microsoft Workplace Analytics
DEVELOPERPACK_TEAMS1,O365 E3 Developer - Microsoft Teams
D365_ProjectOperationsCDS,Dynamics 365 Project Operations CDS
MCOEV_USGOV_DOD,Microsoft Teams Phone Standard for US GOV DoD
Dynamics_365_for_Talent_Team_members,Dynamics 365 for Talent Team Members
SharePoint Plan 1G,SharePoint Plan 1G
POWERAPPS_P2,Power Apps (Plan 2)
MCOINTERNAL,Lync Internal Incubation and Corp to Cloud
DYN365_BUSCENTRAL_DB_CAPACITY,Dynamics 365 Business Central Database Capacity
UNIVERSAL_PRINT_01,Universal Print
PROJECTONLINE_PLAN1_STUDENT,Project Online Professional P1 for Students
PROJECTESSENTIALS_FORMS_PLAN_E1,Project Online Essentials - Microsft Forms (Plan E1)
MIDSIZEPACK_SHAREPOINTWAC,O365 Midsize Business - Office for web
MCOEVSMB,Skype for Business Cloud PBX for Small and Medium Business
AAD_PREMIUM_P2_FACULTY,Azure Active Directory Premium P1 for Faculty
O365_BUSINESS_PREMIUM_POWERAPPS_O365_P1,M365 Business Standard - PowerApps for Office 365
MEETING_ROOM_MCOSTANDARD,Meeting Room - Skype for Business Online (P2)
DYN365_TALENT_ENTERPRISE,Dynamics 365 for Talent
POWERAPPS_PORTALS_LOGIN_GCC,Power Apps Portals Login Capacity Add-On for Government
TEAMS_COMMERCIAL_TRIAL_TEAMS1,Microsoft Teams Commercial Cloud - Microsoft Teams
ENTERPRISEPREMIUM_NOPSTNCONF_BI_AZURE_P2,O365 E5 Without Audio Conferencing - Power BI Pro
RIGHTSMANAGEMENT_STANDARD_STUDENT,Azure Rights Management for students
Intelligent_Content_Services_SPO_type,SharePoint Syntex - SPO type
POWER_BI_STANDARD_STUDENT,Power BI (free) for Students
MICROSOFTENDPOINTDLP,Microsoft Endpoint DLP
GLOBAL_SERVICE_MONITOR,Global Service Monitor Online Service
EXCHANGE_S_ESSENTIALS_EXCHANGE_S_ESSENTIALS,Exchange Online Essentials
SPE_F1_SHAREPOINTWAC,M365 F1 - Office for web
DESKLESSPACK_EXCHANGE_S_DESKLESS,O365 F1 - Exchange Online Kiosk
CRMTESTINSTANCE,Dynamics 365 - Additional Non-Production Instance (Qualified Offer)
POWERAPPS_DYN_TEAM,Power Apps for Dynamics 365
WIN10_VDA_E3_VIRTUALIZATION RIGHTS FOR WINDOWS 10 (E3/E5+VDA),Windows 10 Enterprise E3 - Windows 10 Enterprise
SHAREPOINTENTERPRISE_STUDENT,SharePoint (Plan 2 for Students)
DYN365_ENTERPRISE_TEAM_MEMBERS_SHAREPOINTENTERPRISE,D365 for Team Members Ent Edition - SharePoint (P2)
MTR_PREM_NOAUDIOCONF_FACULTY,Teams Rooms Premium without Audio Conferencing for faculty Trial
YAMMER_ENTERPRISE,Yammer Enterprise
POWERFLOW_P2_DYN365_CDS_P2,Microsoft PowerApps P2 Trial - Common Data Service
OFFICESUBSCRIPTION_unattended,Microsoft 365 Apps for Enterprise (Unattended)
EXCHANGE_S_STANDARD,Exchange Online (Plan 1)
VISIOCLIENT_STUDENT,Visio Pro for Office 365 for Students
Dynamics_365_for_Retail_Team_members,Dynamics 365 for Retail Team Members
SPE_F1_WHITEBOARD_FIRSTLINE1,M365 F1 - Whiteboard (Firstline)
ENTERPRISEPACKPLUS_FACULTY,Office 365 A3 for faculty
CDS_O365_P3_GCC,Common Data Service for Teams
SMB_BUSINESS_PREMIUM_SHAREPOINTWAC,M365 Business Standard - Office for web
MIP_S_CLP2,Information Protection for Office 365 - Premium
PREMIUM_ENCRYPTION,Premium Encryption In Office 365
VISIOONLINE_PLAN1_ONEDRIVE_BASIC,Visio Online P1 - OneDrive Basic
WORKPLACE_ANALYTICS,Microsoft Workplace Analytics
MCOPSTN2,Microsoft 365 Domestic And International Calling Plan
ENTERPRISEPACK_SHAREPOINTENTERPRISE,O365 E3 - SharePoint (P2)
SWAY,Sway
OFFICE_BUSINESS,Office 365 Business
PROJECT_O365_P3,Project for Office (Plan E5)
ENTERPRISEPREMIUM_FORMS_PLAN_E5,O365 E5 - Microsoft Forms (Plan E5)
SPE_F1_TEAMS1,M365 F1 - Microsoft Teams
FORMS_PRO_DYN365_CDS_FORMS_PRO,Forms Pro Trial - Common Data Service
M365_G3_GOV,Microsoft 365 G3 GCC
ATP_ENTERPRISE_GOV,Microsoft Defender for Office 365 (Plan 1) for Government
DYN365_SALES_ENTERPRISE_VIRAL_TRIAL,Dynamics 365 Sales Enterprise vTrial
PROJECTPROFESSIONAL_SHAREPOINT_PROJECT,Project Online Professional - Project Online Service
ENTERPRISEPREMIUM_NOPSTNCONF,Office 365 E5 Without Audio Conferencing
DYN365_ENTERPRISE_TEAM_MEMBERS_DYNAMICS_365_FOR_OPERATIONS_TEAM_MEMBERS,D365 for Team Members Ent Edition - Dynamics 365 for Operations Member
PROJECTONLINE_PLAN_4_SHAREPOINTWAC,Project Online Premium Without Project Client - Office for web
DYN365_ENTERPRISE_CASE_MANAGEMENT,Dynamics 365 for Case Management Enterprise Edition
MCOEV_GCCHIGH,Microsoft Teams Phone for GCC High
EMSPREMIUM_AAD_PREMIUM,Ent Mobility + Security E5 - Azure AD Premium P1
WIN10_VDA_E3,Windows 10 Enterprise E3
Dynamics_365_for_Operations_Devices,Dynamics 365 Operations ? Device
SPE_F1_SHAREPOINTDESKLESS,M365 F1 - Sharepoint Online Kiosk
TEAMS_COMMERCIAL_TRIAL_WHITEBOARD_PLAN1,Microsoft Teams Commercial Cloud - Whiteboard (P1)
OFFICE_PROPLUS_DEVICE,Microsoft 365 Apps for Enterprise (Device)
ENTERPRISEPREMIUM_COMMUNICATIONS_COMPLIANCE,O365 E5 - Microsoft Communications Compliance
SPE_F1_INTUNE_A,M365 F1 - Microsoft Intune
DMENTERPRISE,Microsoft Dynamics Marketing Online Enterprise
EXCHANGESTANDARD_EXCHANGE_S_STANDARD,Exchange Online (Plan 1)
POWER_BI_ADDON_SQL_IS_SSIM,Power BI for O365 Add-on - Microsoft Power BI Information Services Plan 1
ENTERPRISEPREMIUM_NOPSTNCONF_MCOSTANDARD,O365 E5 Without Audio Conferencing - Skype for Business Online (P2)
POWERAPPS_PER_APP,Power Apps Per App Plan
POWER_BI_PRO_STUDENT,Power BI Pro for students
MIDSIZEPACK_YAMMER_MIDSIZE,O365 Midsize Business - Yammer Enterprise
POWERAPPS_DEV_VIRAL,Power Apps for Developer
DYN365_ENTERPRISE_P1,Dynamics 365 P1
GUIDES_USER_GUIDES,User Guides
MDATP_XPLAT,Microsoft Defender for Endpoint P2_XPLAT
POWERFLOWSFREE,Logic flows
PROJECTONLINE_PLAN_2_STUDENT,Project Online for Students Plan 2
VISIOONLINE_PLAN1_VISIOONLINE,Visio Online P1 - Visio Online
DESKLESSWOFFPACK_GOV,Office 365 Kiosk P2 for Government
EXCHANGE_S_STANDARD_MIDMARKET,Exchange Online Plan 1
PROJECTONLINE_PLAN_2_SHAREPOINT_PROJECT,Project Online With Project for O365 - Project Online Service
O365_BUSINESS_PREMIUM_EXCHANGE_S_STANDARD,M365 Business Standard - Exchange Online (P2)
SMB_BUSINESS_ESSENTIALS_POWERAPPS_O365_P1,M365 Business Basic - PowerApps for Office 365
DEFENDER_ENDPOINT_P1,Microsoft Defender for Endpoint P1
PROJECT_ESSENTIALS_GOV,Project Online Essentials for Government
FLOW_PER_USER,Power Automate per user plan
DYN365_SCM_ATTACH,Dynamics 365 Supply Chain Management Attach to Qualifying Dynamics 365 Base Offer
DESKLESSPACK_STREAM_O365_K,O365 F1 - Microsoft Stream for O365 K SKU
MCOSTANDARD,Skype for Business Online (Plan 2)
SHAREPOINTSTANDARD_GOV,SharePoint for Government (Plan 1G)
EXCHANGEENTERPRISE,Exchange Online (Plan 2)
DYN365_CS_ENTERPRISE_VIRAL_TRIAL,Dynamics 365 Customer Service Enterprise vTrial
STANDARDWOFFPACK_FORMS_PLAN_E1,O365 E2 - Microsft Forms (Plan E1)
ENTERPRISEPREMIUM_POWERAPPS_O365_P3,O365 E5 - PowerApps for Office 365
STANDARDPACK_BPOS_S_TODO_1,O365 E1 - To-do (P1)
RIGHTSMANAGEMENT_RMS_S_PREMIUM2,Azure Information Protection Plan 1 - Azure Information Protection Premium P2
ENTERPRISEPREMIUM_NOPSTNCONF_SHAREPOINTWAC,O365 E5 Without Audio Conferencing - Office for web
PROJECTWORKMANAGEMENT_GOV,Office 365 Planner for Government
RMS_S_PREMIUM,Azure Information Protection Premium P1
O365_BUSINESS_SHAREPOINTWAC,M365 Apps for Business - Office for web
MCOMEETACPEA,Microsoft 365 Audio Conferencing Pay-Per-Minute - EA
PROJECTESSENTIALS_SWAY,Project Online Essentials - Sway
ENTERPRISEPREMIUM_STUDENT,Office 365 A5 for Students
ENTERPRISEPACK_FLOW_O365_P2,O365 E3 - Flow for Office 365
SHAREPOINTENTERPRISE_EDU,Sharepoint Plan 2 for EDU
TEAMS_COMMERCIAL_TRIAL_SWAY,Microsoft Teams Commercial Cloud - Sway
POWERAPPS_DYN_APPS,Power Apps for Dynamics 365
DYN365_MARKETING_USER,Dynamics 365 for Marketing USL
MCOMEETADV_GOC,Microsoft 365 Audio Conferencing for GCC
ENTERPRISEWITHSCAL_POWERAPPS_O365_P2,O365 E4 - PowerApps for Office 365
SPE_F1_STREAM_O365_K,M365 F1 - Microsoft Stream for O365 K SKU
STANDARDWOFFPACK_MCOSTANDARD,O365 E2 - Skype for Business Online (P2)
CDSAICAPACITY_PERUSER_NEW,AI Builder capacity Per User add-on
FLOW_O365_P3,Power Automate for Office 365 P3
MIP_S_Exchange,Data Classification in Microsoft 365
ENTERPRISEWITHSCAL,Office 365 E4
STANDARDPACK_KAIZALA_O365_P2,O365 E1 - Microsoft Kaizala Pro
WIN_DEF_ATP_WINDEFATP,Microsoft Defender for Endpoint P2
LOCKBOX_ENTERPRISE,Customer Lockbox
EXCHANGE_ONLINE_WITH_ONEDRIVE_LITE,Exchange with OneDrive for Business
DYN365_FINANCE,Dynamics 365 Finance
FORMS_GOV_E5,Microsoft Forms for Government (Plan E5)
O365_BUSINESS_ESSENTIALS_PROJECTWORKMANAGEMENT,M365 Business Basic - Microsoft Planner
MICROSOFT_REMOTE_ASSIST_MICROSOFT_REMOTE_ASSIST,Microsoft Remote Assistant
ENTERPRISEPACK_WHITEBOARD_PLAN2,O365 E3 - Whiteboard (P2)
DYN365_CDS_DYN_P2,Common Data Service
FLOW_O365_P1,Power Automate for Office 365 P1
Forms_Pro_Customer_Insights,Microsoft Dynamics 365 Customer Voice for Customer Insights
O365_BUSINESS_PREMIUM_O365_SB_RELATIONSHIP_MANAGEMENT,M365 Business Standard - Outlook Customer Manager
MCOPSTN_5,Microsoft 365 Domestic Calling Plan (120 Minutes)
AAD_PREMIUM_P2_AAD_PREMIUM_P2,Azure AD Premium P2 - Azure AD Premium P2
FLOW_SALES_PRO,Power Automate for Sales Pro
UNIVERSAL_PRINT_M365,Universal Print
ENTERPRISEPREMIUM_FACULTY,Office 365 A5 for Faculty
O365_BUSINESS_PREMIUM_OFFICE_BUSINESS,M365 Business Standard - Office 365 Business
D365_CSI_EMBED_CSEnterprise,Dynamics 365 Customer Service Insights for CS Enterprise
SKU_DYNAMICS_365_FOR_HCM_TRIAL_DYNAMICS_365_ONBOARDING_FREE_PLAN,Dynamics 365 for Talents
D365_IOTFORSCM_ADDITIONAL,IoT Intelligence Add-in Additional Machines
ENTERPRISEPREMIUM_NOPSTNCONF_FORMS_PLAN_E5,O365 E5 Without Audio Conferencing - Microsft Forms (Plan E5)
INFORMATION_BARRIERS,Information Barriers
WACONEDRIVESTANDARD_SHAREPOINTWAC,Onedrive for Business (P1) - Office for web
Nucleus,Nucleus
SAFEDOCS,Office 365 Safedocs
ENTERPRISEWITHSCAL_FLOW_O365_P2,O365 E4 - Flow for Office 365
POWERAPPS_PER_USER,PowerApps Per User Plan
MCOPSTNC_MCOPSTNC,Skype for Business Communications Credits
STANDARDPACK_MCOSTANDARD,O365 E1 - Skype for Business Online (P2)
PROJECTCLIENT_STUDENT,Project Pro for Office 365 for Students
VISIOONLINE_PLAN1,Visio Online Plan 1
DYN365_CDS_CCI_BOTS,Common Data Service for CCI Bots
STREAM_O365_E3_GOV,Microsoft Stream for Office 365 for Government (E3)
DEVELOPERPACK_OFFICESUBSCRIPTION,O365 E3 Developer - Office 365 ProPlus
AAD_BASIC_EDU,Azure Active Directory Basic for Education
DYN365_CDS_P2_GOV,Common Data Service P2 for Government
DYNAMICS_365_ONBOARDING_SKU_DYN365_CDS_DYN_APPS,Dynamics 365 for Talent: Onboard - Common Data Service
FLOW_DYN_TEAM,Power Automate for Dynamics 365
VIDEO_INTEROP,Polycom Skype Meeting Video Interop for Skype for Business
PHONESYSTEM_VIRTUALUSER_MCOEV_VIRTUALUSER,Microsoft 365 Phone System - Virtual User
DYN365_ENTERPRISE_P1_IW_DYN365_ENTERPRISE_P1_IW,Dynamics 365 P1 Trial for Information Workers
PROJECTONLINE_PLAN_2,Project Online With Project for Office 365
STANDARDWOFFPACK_TEAMS1,O365 E2 - Microsoft Teams
CDS_CUSTOMER_INSIGHTS_TRIAL,Common Data Service for Customer Insights Trial
ENTERPRISEPACK_TEAMS1,O365 E3 - Microsoft Teams
ENTERPRISEPACK_PROJECTWORKMANAGEMENT,O365 E3 - Microsoft Planner
STANDARDWOFFPACKPACK_STUDENT,Office 365 Plan A2 for Students
INFOPROTECTION_P2,Azure Information Protection Premium P2
ENTERPRISEPREMIUM_PROJECTWORKMANAGEMENT,O365 E5 - Microsoft Planner
DYN365_FS_ENTERPRISE_VIRAL_TRIAL,Dynamics 365 Field Service Enterprise vTrial
DYN365_CDS_GUIDES,Common Data Service
PROJECT_CLIENT_SUBSCRIPTION_GOV,Project Online Desktop Client for Government
GRAPH_CONNECTORS_SEARCH_INDEX_TOPICEXP,Graph Connectors Search with Index (Viva Topics)
ENTERPRISEPACK_GOV,O365 E3 for Government
M365_SECURITY_COMPLIANCE_FOR_FLW,Microsoft 365 Security and Compliance for Firstline Workers
Dynamics_365_for_Retail,Dynamics 365 for Retail
Intune_Defender,MDE_SecurityManagement
DYN365_CDS_FINANCE,Common Data Service for Dynamics 365 Finance
BPOS_S_TODO_3,To-do (Plan 3)
EMS_INTUNE_A,Ent Mobility + Security E3 - Microsoft Intune
O365_BUSINESS_PREMIUM_SHAREPOINTSTANDARD,M365 Business Standard - SharePoint (P1)
ENTERPRISEPACKWITHOUTPROPLUS,Office 365 Enterprise E3 without ProPlus Add-on
GRAPH_CONNECTORS_SEARCH_INDEX,Graph Connectors Search with Index
POWERVIDEOSFREE,Microsoft Power Videos Basic
DYN365_ENTERPRISE_TEAM_MEMBERS_FLOW_DYN_TEAM,D365 for Team Members Ent Edition - Flow for Office 365
MCOVOICECONF_GOV,Skype for Business Online for Government (Plan 3G)
DYN365_CUSTOMER_INSIGHTS_ENGAGEMENT_INSIGHTS_BASE_TRIAL,Dynamics 365 Customer Insights Engagement Insights Viral
DYN365_ENTERPRISE_SALES_PROJECT_ESSENTIALS,D365 for Sales Enterprise Edition - Project Online Essential
O365_BUSINESS_PREMIUM_TEAMS1,M365 Business Standard - Microsoft Teams
ENTERPRISEWITHSCAL_TEAMS1,O365 E4 - Microsoft Teams
DYN365_MARKETING_MSE_USER,Dynamics 365 for Marketing MSE User
EXCHANGESTANDARD_STUDENT,Exchange Online P1 for Students
POWERAPPS_PER_APP_NEW,Power Apps per app Plan (1 app or portal)
Dynamics_365_for_Operations,Dynamics 365 Unf Ops Plan Ent Edition
DYN365_REGULATORY_SERVICE,"Dynamics 365 for Finance and Operations, Enterprise edition - Regulatory Service"
OFFICESUBSCRIPTION_STUDENT,Microsoft 365 Apps for Students
WINDOWSUPDATEFORBUSINESS_DEPLOYMENTSERVICE,Windows Update for Business Deployment Service
O365_BUSINESS_PREMIUM_DYN365_CDS_O365_P2,M365 Business Standard - Common Data Service
DYN365_CS_VOICE_VIRAL_TRIAL,Dynamics 365 Customer Service Voice vTrial
STREAM_O365_E3,Microsoft Stream for Office 365 E3 SKU
ENTERPRISEPREMIUM_BPOS_S_TODO_3,O365 E5 - To-do (P3)
RIGHTSMANAGEMENT,Azure Information Protection Plan 1
O365_SB_Relationship_Management,Outlook Customer Manager
ENTERPRISEWITHSCAL_EXCHANGE_S_ENTERPRISE,O365 E4 - Exchange Online (P2)
POWERAPPS_VIRAL,Power Apps Plan 2 Trial
SPE_E3_USGOV_DOD,Microsoft 365 E3_USGOV_DOD
DESKLESSPACK,Office 365 F3
ENTERPRISEPREMIUM_MYANALYTICS_P2,O365 E5 - Insights by MyAnalytics
STREAM_O365_E5,Microsoft Stream for Office 365 E5 SKU
DESKLESSPACK_GOV,Office 365 F1 for Government
EXCHANGEARCHIVE,Exchange Online Archiving for Exchange Server
CDS_DB_CAPACITY,Common Data Service Database Capacity
STANDARDPACK_FORMS_PLAN_E1,O365 E1 - Microsft Forms (Plan E1)
PROJECTPROFESSIONAL_FLOW_FOR_PROJECT,Project Online Professional - Flow for Project Online
LITEPACK_MCOLITE,O365 Small Business - Skype for Business Online (P1)
TEAMS_FREE,Microsoft Teams (Free)
EXCHANGE_ANALYTICS,Microsoft Myanalytics (full)
POWER_BI_PRO,Power BI Pro
Dynamics_365_for_HCM_Trial,Dynamics 365 for HCM Trial
MCOPSTN5,Microsoft 365 Domestic Calling Plan (120 Minutes)
M365_F1_MFA_PREMIUM,M365 F1 - Azure Multi-factor Authentication
VISIOCLIENT_FACULTY,Visio Pro for Office 365 for Faculty
RIGHTSMANAGEMENT_ADHOC_RMS_S_ADHOC,Rights Management Adhoc
ENTERPRISEPREMIUM_MIP_S_CLP1,O365 E5 - Information Protection for Office 365 - Standard
M365EDU_A3_STUUSEBNFT,Microsoft 365 A3 for students use benefit
RMS_S_PREMIUM_GOV,Azure Information Protection Premium P1 for GCC
DYN365_FINANCE_ATTACH,Dynamics 365 Finance Attach to Qualifying Dynamics 365 Base Offer
ATP_ENTERPRISE,Microsoft Defender for Office 365 (Plan 1)
ENTERPRISEPACK_MYANALYTICS_P2,O365 E3 - Insights by MyAnalytics
O365_BUSINESS_PREMIUM_MYANALYTICS_P2,M365 Business Standard - Insights by MyAnalytics
DYN365_BUSCENTRAL_PREMIUM,Dynamics 365 Business Central Premium
PROJECT_MADEIRA_PREVIEW_IW,Dynamics 365 Business Central for IWs
FORMS_GOV_F1,Forms for Government (Plan F1)
DESKLESSPACK_OFFICEMOBILE_SUBSCRIPTION,O365 F1 - Mobile Apps for Office 365
CRM_ONLINE_PORTAL,Dynamics 365 Enterprise Edition - Additional Portal (Qualified Offer)
MEETING_ROOM_MCOMEETADV,Meeting Room - Audio Conferencing
MIDSIZEPACK_SWAY,O365 Midsize Business - Sway
DYN365_ENTERPRISE_SALES_SHAREPOINTWAC,D365 for Sales Enterprise Edition - Office for web
POWER_VIRTUAL_AGENTS_O365_P2,Power Virtual Agents for Office 365
RECORDS_MANAGEMENT,Microsoft Records Management
PROJECTESSENTIALS_FACULTY,Project Online Essentials for Faculty
FLOW_O365_P2,Power Automate for Office 365 P2
MCOSTANDARD_MIDMARKET,Skype for Business Online (Plan 2) for Midsize
MDM_SALES_COLLABORATION,Microsoft Dynamics Marketing Sales Collaboration
ENTERPRISEPREMIUM_NOPSTNCONF_TEAMS1,O365 E5 Without Audio Conferencing - Microsoft Teams
